(0,1,2,3,4,5) = (neutral, joy, sadness, fear, anger, surprise)

Text, emotion
"وہ باہر جا کے عورتون کے کلب سے سر پھاڑ رہا ہے جبکے, یہ گھر بیٹھے قالین سے مستدون کی بدبو نکال رہی ہے", 4
"مارشا، یہ غار کے لوگ ہیں۔ ٹھیک ہے؟ ان کے مسائل ہیں جیسے 'وہ گلیشیئر قریب آ رہا ہے۔' دیکھا؟", 0
"مسائل کی بات کرتے ہوئے, کیا وہ تمہاری سابقہ بیوی نہیں ہے?", 0
"نہیں نہیں.", 3
"ہاں، وہی ہے. کیرول! ہیلو!", 1
"ٹھیک ہے، ٹھیک ہے، ہاں، یہ ہے۔", 3
"میں تمہے برفانی دور والے خانے میں ملتا ہوں", 0
"ہیلو۔", 0
"تو۔", 0
"تم بہت اچھی لگ رہی ہو .... مجھے یہ پسند نہیں", 3
"تم بھی بہت اچھے لگ رہے ہو", 1
"آہ، ٹھیک ہے، یہاں، کوئی بھی جو... تو نیا کیا ہے؟ ابھی  بھی، آہ...", 1
"ایک لیزبین؟", 0
"خیر ، کچھ پتا نہیں ہوتا... تمہاری فیملی کیسی ہے ؟", 0
"مارٹی اب بھی صدمے میں  ہے۔ اوہ، اور، اہ", 0
"تم - تم یہاں کیوں آئی ہو؟", 3
"میں حاملہ ہوں.", 1
"حاملہ؟", 5
"اوہ، میرے خیال میں یہ تھری کی کمپنی کا واقعہ ہے جہاں کسی قسم کی غلط فہمی ہوئی  ہے۔", 0
"...پھر میں اسے پہلے ہی دیکھ چکی  ہوں!", 2
"کیا تم نے اسے ختم کر لیا ہے؟", 0
"ہاں، معذرت، نگلنے نے مجھے سست کر دیا۔", 2
"یہ کاغذ کی چھوٹی گیند کس کی ہے؟!", 0
"اوہ، یہ میرا ہوگا. دیکھو، میں نے اپنے آپ کو ایک نوٹ لکھا، اور پھر مجھے احساس ہوا کہ مجھے اس کی ضرورت نہیں ہے، اس لیے میں نے اسے گول کر دیا اور...اب میرا دل کر رہا ہے میں مر جاؤں ۔", 2
"وہ اس تکیے کو پہلے ہی فلف کر چکی ہے... مونیکا، تم جانتی ہو، تم نے اسے پہلے ہی فلف کر دیا ہے- لیکن، یہ ٹھیک ہے", 0
"دیکھو، میں انہیں اس سے زیادہ گولہ بارود نہیں دینا چاہتی۔ ان کے پاس پہلے سے ہی ہے۔", 0
"ہاں، اور ہم سب جانتے ہیں کہ والدین بچے کے تکیے کے چپٹے ہونے کے بارے میں کتنے ظالم ہو سکتے ہیں۔",  3
"مونیکا- ہیلو! ام، مونیکا، تم مجھے ڈرا رہی ہو، میرا مطلب ہے، تم ایسے ہی ہو، جیسے کہ ہر طرح کی افراتفری اور گھمبیری ۔ اور یہ اچھا نہیں ہے ", 3
"ہاں، پرسکون ہو جاؤ، راس تو کبھی بھی ان کے آنے پے اتنا افرا تفری میں نہیں  پڑا ۔", 0"
"اس کی وجہ یہ ہے کہ جہاں تک میرے والدین کا تعلق ہے، راس کوئی غلط کام نہیں کر سکتا۔ دیکھو، وہ شہزادہ ہے۔ بظاہر میری پیدائش سے پہلے انہوں نے کوئی بڑی تقریب کی  تھی۔", 4
















































